Nome;Latitudine;Longitudine;Indirizzo;Categoria;Macro_Categoria;p1_capire_diagnosi_orientarsi;p2_gestire_quotidianità;p3_uscire_casa_restare_attivo;p4_non_isolarsi;p5_comportamento_memoria;p6_questioni_pratiche_burocratiche;p7_caregiver;Fonte;Telefono;Web;Nome_icona
Vivisol s.r.l. (Gallarate);;;X;Ente gestore ADI;sociosanitario;;Cure domiciliari / assistenza domiciliare integrata (ADI);;;;;;;adissg@vivisol.it — 0331777934;—;icon-ente-gestore-adi.png
Vivisol s.r.l. (Sesto S.G.);;;X;Ente gestore ADI;sociosanitario;;Cure domiciliari / assistenza domiciliare integrata (ADI);;;;;;;adissg@vivisol.it — 800990161;—;icon-ente-gestore-adi.png
A.S.P. Istituti Milanesi Martinitt e Stelline e Pio Albergo Trivulzio;;;X;Ente gestore ADI;sociosanitario;;Cure domiciliari / assistenza domiciliare integrata (ADI);;;;;;;c-dom@pioalbergotrivulzio — 024029638;—;icon-ente-gestore-adi.png
La Villa s.r.l. (Gratiae/Eukedos);;;X;Ente gestore ADI;sociosanitario;;Cure domiciliari / assistenza domiciliare integrata (ADI);;;;;;;info.gratiae@eukedos.it — 0257462801;—;icon-ente-gestore-adi.png
Martinengo Soc. Coop. Sociale;;;X;Ente gestore ADI;sociosanitario;;Cure domiciliari / assistenza domiciliare integrata (ADI);;;;;;;adi.curepalliative@cooperativa — 0257303632;—;icon-ente-gestore-adi.png
Istituto Clinico Città Studi;;;X;Ente gestore ADI;sociosanitario;;Cure domiciliari / assistenza domiciliare integrata (ADI);;;;;;;adi@ic-cittastudi.it — 0223936200;—;icon-ente-gestore-adi.png
ADOMI Cure Domiciliari;;;X;Ente gestore ADI;sociosanitario;;Cure domiciliari / assistenza domiciliare integrata (ADI);;;;;;;info@adomi.it — 0270017387;—;icon-ente-gestore-adi.png
Casa di Comunità BANDENERE;45,416224;9,072748;P.zza Bande Nere 3, Milano;Casa di Comunità;sociosanitario;"Punto di accesso e orientamento ai servizi sanitari e sociosanitari del territorio; porta d'ingresso per pazienti fragili e cronici";;;;;;;https://www.ats-milano.it/ats/carta-servizi/guida-servizi/assistenza-sociosanitaria/case-comunita/casa-comunita;—;—;icon-poliambulatorio.png
Casa di Comunità DON ORIONE;45,501408;9,2374461;Viale Don Orione 2, Milano;Casa di Comunità;sociosanitario;"Punto di accesso e orientamento ai servizi sanitari e sociosanitari del territorio; porta d'ingresso per pazienti fragili e cronici";;;;;;;https://www.ats-milano.it/ats/carta-servizi/guida-servizi/assistenza-sociosanitaria/case-comunita/casa-comunita;—;—;icon-poliambulatorio.png
Casa di Comunità DORIA/RICORDI;45,4858349;9,2151382;Via A. Doria 52, Milano;Casa di Comunità;sociosanitario;"Punto di accesso e orientamento ai servizi sanitari e sociosanitari del territorio; porta d'ingresso per pazienti fragili e cronici";;;;;;;https://www.ats-milano.it/ats/carta-servizi/guida-servizi/assistenza-sociosanitaria/case-comunita/casa-comunita;—;—;icon-poliambulatorio.png
Casa di Comunità FARINI;45,4843378;9,1816088;Via Farini 9, Milano;Casa di Comunità;sociosanitario;"Punto di accesso e orientamento ai servizi sanitari e sociosanitari del territorio; porta d'ingresso per pazienti fragili e cronici";;;;;;;https://www.ats-milano.it/ats/carta-servizi/guida-servizi/assistenza-sociosanitaria/case-comunita/casa-comunita;—;—;icon-poliambulatorio.png
Casa di Comunità GOLA;45,448971;9,1735624;Via Gola 22, Milano;Casa di Comunità;sociosanitario;"Punto di accesso e orientamento ai servizi sanitari e sociosanitari del territorio; porta d'ingresso per pazienti fragili e cronici";;;;;;;https://www.ats-milano.it/ats/carta-servizi/guida-servizi/assistenza-sociosanitaria/case-comunita/casa-comunita;—;—;icon-poliambulatorio.png
Casa di Comunità LIVIGNO;45,4974463;9,1789138;Via Livigno 2/A, Milano;Casa di Comunità;sociosanitario;"Punto di accesso e orientamento ai servizi sanitari e sociosanitari del territorio; porta d'ingresso per pazienti fragili e cronici";;;;;;;https://www.ats-milano.it/ats/carta-servizi/guida-servizi/assistenza-sociosanitaria/case-comunita/casa-comunita;—;—;icon-poliambulatorio.png
Casa di Comunità MASANIELLO;45,4628809;9,0908564;Via Masaniello 23, Milano;Casa di Comunità;sociosanitario;"Punto di accesso e orientamento ai servizi sanitari e sociosanitari del territorio; porta d'ingresso per pazienti fragili e cronici";;;;;;;https://www.ats-milano.it/ats/carta-servizi/guida-servizi/assistenza-sociosanitaria/case-comunita/casa-comunita;—;—;icon-poliambulatorio.png
Casa di Comunità MONREALE;45,47589;9,13953;Via Monreale 13, Milano;Casa di Comunità;sociosanitario;"Punto di accesso e orientamento ai servizi sanitari e sociosanitari del territorio; porta d'ingresso per pazienti fragili e cronici";;;;;;;https://www.ats-milano.it/ats/carta-servizi/guida-servizi/assistenza-sociosanitaria/case-comunita/casa-comunita;—;—;icon-poliambulatorio.png
Casa di Comunità RUGABELLA;45,458984;9,1891977;via Rugabella 4/6, Milano;Casa di Comunità;sociosanitario;"Punto di accesso e orientamento ai servizi sanitari e sociosanitari del territorio; porta d'ingresso per pazienti fragili e cronici";;;;;;;https://www.ats-milano.it/ats/carta-servizi/guida-servizi/assistenza-sociosanitaria/case-comunita/casa-comunita;—;—;icon-poliambulatorio.png
Casa di Comunità STROMBOLI;45,45864;9,15777;Via Stromboli 19, Milano;Casa di Comunità;sociosanitario;"Punto di accesso e orientamento ai servizi sanitari e sociosanitari del territorio; porta d'ingresso per pazienti fragili e cronici";;;;;;;https://www.ats-milano.it/ats/carta-servizi/guida-servizi/assistenza-sociosanitaria/case-comunita/casa-comunita;—;—;icon-poliambulatorio.png
Casa di Comunità VILLA MARELLI;45,4966601;9,1940387;viale Zara 81, Milano;Casa di Comunità;sociosanitario;"Punto di accesso e orientamento ai servizi sanitari e sociosanitari del territorio; porta d'ingresso per pazienti fragili e cronici";;;;;;;https://www.ats-milano.it/ats/carta-servizi/guida-servizi/assistenza-sociosanitaria/case-comunita/casa-comunita;—;—;icon-poliambulatorio.png
Arpamagica — Centro di Musicoterapia e Arpaterapia;45,4605605;9,1929078;Via Chiaravalle 11, 20122 Milano;Centro culturale/terapeutico;sociosanitario;;;Musicoterapia e arpaterapia: sedute individuali e di gruppo per stimolazione e benessere emotivo in persone con Alzheimer e demenze;;Arpaterapia come intervento non farmacologico per disturbi comportamentali e riduzione agitazione;;;https://www.arpamagica.it/corsi/arpaterapia/;—;—;icon-centro-culturale-terapeutico.png
CPAA Municipio 1 — Casa di Quartiere Garibaldi;45,4729317;9,1832752;Via Giorgio Strehler 2, 20121 Milano;CPAA — Centro psicologico territoriale;sociosanitario;;;;;Sportello territoriale di prossimità per la demenza;Supporto psicologico ai caregiver (ente gestore: Comune di Milano (psicologa Donatella Zenobio));;;—;—;icon-centro-psicologico.png
CPAA Municipio 2 — RSA Pindaro;45,5166867;9,2302805;Via Pindaro 44, 20128 Milano;CPAA — Centro psicologico territoriale;sociosanitario;;;;;Sportello territoriale di prossimità per la demenza;Supporto psicologico ai caregiver (ente gestore: Anteo S.C.S. (psicologa Stefania Testagrossa));;;—;—;icon-centro-psicologico.png
CPAA Municipio 3 — RSA Polo Geriatrico Riabilitativo;45,47607;9,2414379;Via S. Faustino 27, 20134 Milano;CPAA — Centro psicologico territoriale;sociosanitario;;;;;Sportello territoriale di prossimità per la demenza;Supporto psicologico ai caregiver (ente gestore: Comune di Milano (psicologa Donatella Zenobio));;;—;—;icon-centro-psicologico.png
CPAA Municipio 4 — RSA Virgilio Ferrari;45,4368787;9,2211218;Via dei Panigarola 14, 20139 Milano;CPAA — Centro psicologico territoriale;sociosanitario;;;;;Sportello territoriale di prossimità per la demenza;Supporto psicologico ai caregiver (ente gestore: Pro.Ges S.C.S. (psicologa Vanessa Sigalini));;;—;—;icon-centro-psicologico.png
CPAA Municipio 5 — Casa delle Associazioni e del Volontariato;45,4097663;9,1738235;Via M. Saponaro 20, 20142 Milano;CPAA — Centro psicologico territoriale;sociosanitario;;;;;Sportello territoriale di prossimità per la demenza;Supporto psicologico ai caregiver (ente gestore: A.M.A. Milano (psicologo Erminio Presotto));;;—;—;icon-centro-psicologico.png
CPAA Municipio 6 — Casa delle Associazioni e del Volontariato;45,4389071;9,1368385;Via Riccardo Balsamo Crivelli 5, 20142 Milano;CPAA — Centro psicologico territoriale;sociosanitario;;;;;Sportello territoriale di prossimità per la demenza;Supporto psicologico ai caregiver (ente gestore: Nuova Assistenza S.C.S. (psicologa Stefania Testagrossa));;;—;—;icon-centro-psicologico.png
CPAA Municipio 7 — Casa di Quartiere Baggio;45,4647247;9,0907998;Via Anselmo da Baggio 54, 20153 Milano;CPAA — Centro psicologico territoriale;sociosanitario;;;;;Sportello territoriale di prossimità per la demenza;Supporto psicologico ai caregiver (ente gestore: Comune di Milano (psicologa Stefania Gherner));;;—;—;icon-centro-psicologico.png
CPAA Municipio 8 — Sede Municipio 8;45,4962275;9,1149541;Via Giacomo Quarenghi 21, 20151 Milano;CPAA — Centro psicologico territoriale;sociosanitario;;;;;Sportello territoriale di prossimità per la demenza;Supporto psicologico ai caregiver (ente gestore: Comune di Milano (psicologa Stefania Gherner));;;—;—;icon-centro-psicologico.png
CPAA Municipio 9 — Servizio Sociale Territoriale;45,5055978;9,1788;Via Cesare Brivio 4, 20158 Milano;CPAA — Centro psicologico territoriale;sociosanitario;;;;;Sportello territoriale di prossimità per la demenza;Supporto psicologico ai caregiver (ente gestore: A.M.A. Milano (psicologo Erminio Presotto));;;—;—;icon-centro-psicologico.png
"Fondazione Guzzetti — Gruppo ""Dire & Fare"" (Consultorio Strozzi)";45,4585679;9,1438544;Via Strozzi 6/a, Milano;Consultorio / gruppo di mutuo aiuto;sociosanitario;;;;Gruppo mensile per caregiver: condivisione esperienze, confronto tra pari, rete di sostegno reciproco;"Tecniche di comunicazione con il malato; gestione dei disturbi del comportamento";;"Supporto psicologico e mutuo aiuto tra caregiver; riduzione isolamento; apprendimento tecniche di cura; gratuito";;Tel. 02 40702441 (tasto 1-3);ccfstrozzi@fondazioneguzzetti.it — fondazioneguzzetti.it;icon-consultorio.png
AMBROSIANA RSA SRL;45.506144;9.273375;VIA OLGETTINA 63;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
CASA  DI RIPOSO PER MUSICISTI;45.47045;9.154758;PIAZZA BUONARROTI 29;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
CASA FAMIGLIA;45.469033;9.203882;VIA VIVAIO 7;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
CASA PER CONIUGI;45.435353;9.22064;VIA DEI CINQUECENTO 19;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
CENTRO PADRE AMBROSOLI GIUSEPPE;45.52246;9.179529;LARGO MISSIONARI COMBONIANI 3;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
FONDAZIONE SAN GIUSEPPE  MOSCATI ONLUS;45.455609;9.201541;VIA ORTI 27;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
"ISTITUTO GERIATRICO MILANESE ""OPERA PASTOR ANGELICUS""";45.51552;9.127813;VIA ARSIA 7;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
ISTITUTO GERIATRICO P. REDAELLI;45.45954;9.138465;VIA BARTOLOMEO D'ALVIANO 78;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
L'ATTICO AZZURRO;45.476018;9.241215;VIA SAN FAUSTINO 27;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
LE TERRAZZE FIORITE;45.476048;9.24128;VIA SAN FAUSTINO 27;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
NUOVA  RSA CASA FAMIGLIA;45.469033;9.203753;VIA VIVAIO 7;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
PARCO SEMPIONE;45.475585;9.169476;PIAZZA DEI VOLONTARI 3;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
R.S.A.  PARCO DELLE CAVE;45.468394;9.093086;VIA CAPRI 21;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
R.S.A. BAGGIO;45.468394;9.093086;VIA CAPRI 21;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
R.S.A. IPPOCRATE 1;45.520983;9.165962;VIA IPPOCRATE 18;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
R.S.A. IPPOCRATE 2;45.520983;9.165962;VIA IPPOCRATE 18;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
R.S.A. MATER FIDELIS;45.515763;9.142778;VIA PASCARELLA 19;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
R.S.A. MATER GRATIAE;45.441556;9.195151;VIA CORRADO II IL SALICO 50;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
R.S.A. SANTA SARA;45.433681;9.175236;VIA BARRILI 6;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
R.S.A. VIA BARONI;45.407015;9.170993;VIA C. BARONI 57/A;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
R.S.A. VIA ORNATO;45.521107;9.191415;VIA LUIGI ORNATO 69;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
R.S.A. VIA QUARENGHI;45.497081;9.116246;VIA QUARENGHI 26;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
RESIDENZA ANZIANI ARZAGA;45.456625;9.139169;VIA ARZAGA 1;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
RESIDENZA NAVIGLI;45.445441;9.174791;VIA DARWIN 17;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
RESIDENZA SANITARIA ASSISTENZIALE PINDARO 44;45.516487;9.230252;VIA PINDARO 44;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
RESIDENZA SANT'AMBROGIO;45.440551;9.160844;VIA LOPE DE VEGA 2;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
RESIDENZE SACCARDO, EDIFICIO A;45.483301;9.244141;VIA MASSIMIANO 19;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
RESIDENZE SACCARDO, EDIFICIO B;45.48317;9.244259;VIA SACCARDO 47;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
"RSA  ""EMMAUS""";45.406508;9.172046;VIA BARONI 71/73;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
RSA  MONS. BICCHIERAI 1;45.475202;9.14608;VIA MOSE BIANCHI 90;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
RSA CASA DON GUANELLA;45.478402;9.172495;VIA CAGNOLA 11;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
RSA CASA FAMIGLIA DI MILANO AFFORI;45.518807;9.169557;VIA FRANCO FACCIO 15;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
RSA CASA FAMIGLIA PER ANZIANI DI MILANO;45.518985;9.169535;VIA FRANCO FACCIO 19;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
RSA CASA SAN GIUSEPPE;45.495507;9.12717;VIA DELLE ANDE 11;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
RSA CENTRO GIROLA;45.511428;9.192177;VIA CARLO GIROLA 30;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
RSA DOMUS PATRIZIA SRL;45.453594;9.20805;VIA PIER LOMBARDO 20;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
RSA DON LEONE PORTA;45.480971;9.206123;VIA BOSCOVICH 35;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
RSA FAMAGOSTA;45.432648;9.158632;VIA A. DI RUDINÌ 3;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
RSA GIUSEPPE GEROSA BRICHETTO;45.450475;9.251008;VIA MECENATE 96;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
RSA IL NUOVO FOCOLARE DI S. MARIA DI LORETO;45.488116;9.228596;VIA G. B. MARTINI 29;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
RSA ISTITUTO GERIATRICO MILANESE;45.473368;9.133301;VIA PIER A. PARAVIA 63;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
RSA ISTITUTO PALAZZOLO;45.488452;9.143141;VIA PALAZZOLO D. LUIGI 21;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
RSA LA PICCOLA CASA DEL RIFUGIO;45.438804;9.188427;VIA G. ANTONINI 3;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
RSA LAMBRATE;45.48529;9.242363;VIA GIULIO DARDANONI, 7;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
RSA MARIA AUSILIATRICE SRL;45.431659;9.243242;VIA ROGOREDO 31;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
RSA MATER SAPIENTIAE;45.470634;9.14401;VIA VARAZZE 7;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
RSA MONS. BICCHIERAI 2;45.475202;9.14608;VIA MOSE BIANCHI 90;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
RSA PICCOLO COTTOLENGO DON ORIONE;45.45926;9.145179;VIALE CATERINA DA FORLÌ 19;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
RSA PIO ALBERGO TRIVULZIO;45.465733;9.145213;VIA TRIVULZIO 15;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
RSA PRINCIPESSA JOLANDA;45.466679;9.171899;VIA G. A. SASSI 4;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
RSA SAN LUCA;45.454711;9.186768;VIA SAN LUCA 4;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
RSA SANTA MARTA;45.441499;9.142291;VIA PARENZO 9;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
SAN FAUSTINO;45.474087;9.241749;VIA SAN FAUSTINO 21;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
SAN FRANCESCO D'ASSISI;45.504476;9.224582;PIAZZA PICCOLI MARTIRI 5;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
SAN GIORGIO;45.484162;9.183636;VIA MAURIZIO QUADRIO 14/16;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
SANTA CHIARA;45.478141;9.246168;VIA PITTERI 83;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
SANTA GIULIA;45.477789;9.24664;VIA PITTERI 81;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
SANTA LUCIA;45.457935;9.157385;VIA VEPRA 2;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
VILLA ANTONIETTA;45.453831;9.128882;VIA DEI CICLAMINI 34;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
VIRGILIO  FERRARI;45.43563;9.222029;VIA DEI PANIGAROLA 14;RSA - Residenza Sanitaria Assistenziale;sociosanitario;;;;;;;;;;;icon-rsa.png
"CDI ""FAGGIO ROSSO""";45.438729;9.188406;VIA G. ANTONINI 3;CDI - Centro Diurno Integrato;sociosanitario;;;;;;;;;;;icon-centro-diurno.png
CDI C/O ISTITUTO GERIATRICO P. REDAELLI;45.459417;9.138706;VIA BARTOLOMEO D'ALVIANO 78;CDI - Centro Diurno Integrato;sociosanitario;;;;;;;;;;;icon-centro-diurno.png
CDI C/O RSA GIUSEPPE GEROSA BRICHETTO;45.45055;9.250922;VIA MECENATE 96;CDI - Centro Diurno Integrato;sociosanitario;;;;;;;;;;;icon-centro-diurno.png
CDI C/O RSA VIRGILIO FERRARI;45.435555;9.222082;VIA PANIGAROLA 14;CDI - Centro Diurno Integrato;sociosanitario;;;;;;;;;;;icon-centro-diurno.png
CDI CASA FAMIGLIA DI MILANO AFFORI;45.518792;9.169515;VIA FRANCO FACCIO 15;CDI - Centro Diurno Integrato;sociosanitario;;;;;;;;;;;icon-centro-diurno.png
CDI CASA PER CONIUGI;45.435361;9.220726;VIA DEI CINQUECENTO 19;CDI - Centro Diurno Integrato;sociosanitario;;;;;;;;;;;icon-centro-diurno.png
CDI CENTRO GIROLA;45.511405;9.192263;VIA C. GIROLA 30;CDI - Centro Diurno Integrato;sociosanitario;;;;;;;;;;;icon-centro-diurno.png
CDI FAMAGOSTA;45.432625;9.158675;VIA DI RUDINÌ 3;CDI - Centro Diurno Integrato;sociosanitario;;;;;;;;;;;icon-centro-diurno.png
CDI G. PERUSINI;45.473405;9.133312;VIA PARAVIA 63;CDI - Centro Diurno Integrato;sociosanitario;;;;;;;;;;;icon-centro-diurno.png
CDI GIOLLI COMUNALE;45.527266;9.210442;VIA GIOLLI 29;CDI - Centro Diurno Integrato;sociosanitario;;;;;;;;;;;icon-centro-diurno.png
CDI GIUSEPPE MOSCATI;45.455684;9.201541;VIA ORTI 27;CDI - Centro Diurno Integrato;sociosanitario;;;;;;;;;;;icon-centro-diurno.png
CDI I DELFINI;45.472351;9.13619;VIA TRACIA 2;CDI - Centro Diurno Integrato;sociosanitario;;;;;;;;;;;icon-centro-diurno.png
CDI IL NUOVO FOCOLARE;45.488116;9.228767;VIA G.B. MARTINI 29;CDI - Centro Diurno Integrato;sociosanitario;;;;;;;;;;;icon-centro-diurno.png
CDI LEOPARDI;45.515702;9.142832;VIA CESARE PASCARELLA 19;CDI - Centro Diurno Integrato;sociosanitario;;;;;;;;;;;icon-centro-diurno.png
CDI MARINA VIDEMARI;45.454865;9.193264;VIA GAETANO PINI 4;CDI - Centro Diurno Integrato;sociosanitario;;;;;;;;;;;icon-centro-diurno.png
CDI MIRASOLE;45.406977;9.170951;VIA C. BARONI 57/A;CDI - Centro Diurno Integrato;sociosanitario;;;;;;;;;;;icon-centro-diurno.png
CDI SACCARDO;45.483165;9.244184;VIA MASSIMIANO 19;CDI - Centro Diurno Integrato;sociosanitario;;;;;;;;;;;icon-centro-diurno.png
CDI SANTA GIULIA;45.477819;9.24664;VIA PITTERI 81;CDI - Centro Diurno Integrato;sociosanitario;;;;;;;;;;;icon-centro-diurno.png
CDI SIMONE DE' BEAUVOIR;45.502724;9.14175;VIA BICETTI DE' BUTTINONI 15;CDI - Centro Diurno Integrato;sociosanitario;;;;;;;;;;;icon-centro-diurno.png
CENTRO DIURNO INTEGRATO PINDARO 44;45.51648;9.230295;VIA PINDARO 44;CDI - Centro Diurno Integrato;sociosanitario;;;;;;;;;;;icon-centro-diurno.png
ISTITUTO PALAZZOLO FONDAZIONE DON CARLO GNOCCHI ONLUS;45.488902;9.144174;VIA DON L. PALAZZOLO 21;CDI - Centro Diurno Integrato;sociosanitario;;;;;;;;;;;icon-centro-diurno.png
SAN GIORGIO;45.484214;9.183529;VIA M. QUADRIO 14/16;CDI - Centro Diurno Integrato;sociosanitario;;;;;;;;;;;icon-centro-diurno.png
VODIA CREMONCINI;45.407557;9.17382;VIA SAPONARO 32;CDI - Centro Diurno Integrato;sociosanitario;;;;;;;;;;;icon-centro-diurno.png
CONSULTORIO FAMILIARE PUBBLICO;45.525314;9.161179;PIAZZA DELL'OSPEDALE MAGGIORE 3;Consultorio familiare pubblico;sociosanitario;;;;;;;;;;;icon-consultorio.png
CONSULTORIO FAMILIARE PUBBLICO;45.458334;9.203237;VIA FRANCESCO SFORZA 28;Consultorio familiare pubblico;sociosanitario;;;;;;;;;;;icon-consultorio.png
CONSULTORIO FAMILIARE PUBBLICO;45.484226;9.153344;VIA GIOVANNI BATTISTA GRASSI 74;Consultorio familiare pubblico;sociosanitario;;;;;;;;;;;icon-consultorio.png
CONSULTORIO FAMILIARE PUBBLICO;45.45466;9.187123;VIA FRANCESCO SFORZA 28;Consultorio familiare pubblico;sociosanitario;;;;;;;;;;;icon-consultorio.png
CONSULTORIO FAMILIARE PUBBLICO;45.479347;9.23253;VIA GIOVANNI BATTISTA GRASSI 74;Consultorio familiare pubblico;sociosanitario;;;;;;;;;;;icon-consultorio.png
CONSULTORIO FAMILIARE PUBBLICO;45.426957;9.176667;VIA ANTONIO DI RUDINI' 8;Consultorio familiare pubblico;sociosanitario;;;;;;;;;;;icon-consultorio.png
CONSULTORIO FAMILIARE PUBBLICO;45.445257;9.126297;VIA ANTONIO DI RUDINI' 8;Consultorio familiare pubblico;sociosanitario;;;;;;;;;;;icon-consultorio.png
CONSULTORIO FAMILIARE PUBBLICO;45.503303;9.143658;PIAZZA DELL'OSPEDALE MAGGIORE 3;Consultorio familiare pubblico;sociosanitario;;;;;;;;;;;icon-consultorio.png
CONSULTORIO FAMILIARE PUBBLICO;45.475867;9.139929;VIA ANTONIO DI RUDINI' 8;Consultorio familiare pubblico;sociosanitario;;;;;;;;;;;icon-consultorio.png
CONSULTORIO FAMILIARE PUBBLICO;45.451685;9.251842;VIA GIOVANNI BATTISTA GRASSI 74;Consultorio familiare pubblico;sociosanitario;;;;;;;;;;;icon-consultorio.png
CONSULTORIO FAMILIARE PUBBLICO;45.440956;9.13603;VIA ANTONIO DI RUDINI' 8;Consultorio familiare pubblico;sociosanitario;;;;;;;;;;;icon-consultorio.png
CONSULTORIO FAMILIARE PUBBLICO;45.439881;9.217597;VIA GIOVANNI BATTISTA GRASSI 74;Consultorio familiare pubblico;sociosanitario;;;;;;;;;;;icon-consultorio.png
CONSULTORIO FAMILIARE PUBBLICO;45.50549;9.221059;VIA GIOVANNI BATTISTA GRASSI 74;Consultorio familiare pubblico;sociosanitario;;;;;;;;;;;icon-consultorio.png
CONSULTORIO FAMILIARE PUBBLICO;45.484791;9.21929;VIA GIOVANNI BATTISTA GRASSI 74;Consultorio familiare pubblico;sociosanitario;;;;;;;;;;;icon-consultorio.png
CONSULTORIO FAMILIARE PUBBLICO;45.511673;9.13145;VIA GIOVANNI BATTISTA GRASSI 74;Consultorio familiare pubblico;sociosanitario;;;;;;;;;;;icon-consultorio.png
CONSULTORIO FAMILIARE PUBBLICO;45.46293;9.090914;VIA ANTONIO DI RUDINI' 8;Consultorio familiare pubblico;sociosanitario;;;;;;;;;;;icon-consultorio.png
